Gene	Expr0
2810441K11Rik	7.28505
2810451A06Rik	7.19159
2810453I06Rik	7.19123
2810485I05Rik	8.41794
3-Sep	6.65975
3000004C01Rik	8.8126
3110001I20Rik	7.96307
3110005G23Rik	8.61265
3110009E18Rik	7.43773
3110031B13Rik	7.67108
3110037I16Rik	7.93997
3110040N11Rik	7.28882
3110043J09Rik	7.22909
3110048E14Rik	8.48264
3110050N22Rik	7.82095
3110082I17Rik	8.49453
3200002M19Rik	8.67802
3300001A09Rik	6.49397
3632451O06Rik	6.70631
4631427C17Rik	7.11796
4632404H22Rik	9.47433
4632419K20Rik	7.49273
4732418C07Rik	6.86613
4732471D19Rik	6.58846
4733401H18Rik	9.00613
4833418A01Rik	8.34999
4921513D23Rik	7.29706
4921533L14Rik	7.69671
4930424G05Rik	7.06184
4930427A07Rik	7.05817
4930430F08Rik	6.79274
4930453N24Rik$4930453N24Rik	8.81694
4930455C21Rik	8.12109
4930455F23Rik	6.67956
4930519N13Rik	6.5132
4930547N16Rik	7.02994
4930548G07Rik	9.47376
4930550L24Rik	7.41425
4930572J05Rik	6.80094
4931406P16Rik	7.87319
4932432K03Rik	6.92327
4933403F05Rik	6.51659
4933411K20Rik	7.37973
4933421E11Rik	7.71826
4933426K21Rik	7.72645
4933439F18Rik	7.30126
5033414K04Rik	6.81806
5133401N09Rik	7.20776
5230400G24Rik	8.62692
5330431N19Rik	8.22697
5730403B10Rik	6.96532
5730403M16Rik	6.53408
5730420B22Rik	6.74671
5730437N04Rik	7.93671
5730446C15Rik	7.88354
5730453I16Rik	8.71176
5730455O13Rik	8.0554
5730455P16Rik	6.66072
5730472N09Rik	6.97321
5730494M16Rik	7.57215
5730507C01Rik	7.94339
5730509K17Rik	7.12911
5730590G19Rik	8.36221
5730596K20Rik	7.12749
5830415L20Rik	7.23676
5830416A07Rik	8.85744
5830433M19Rik	8.90912
5830483C08Rik	6.51737
5930416I19Rik	7.75636
6030408C04Rik	8.52354
6030458C11Rik	7.27128
6030490I01Rik	7.64987
6230416J20Rik	8.2653
6330514A18Rik	6.6217
6330534C20Rik	7.3651
6330548G22Rik	6.53908
6330569M22Rik	8.09539
6330578E17Rik	8.93942
6430510M02Rik	7.12464
6530403A03Rik	8.54456
6720457D02Rik	6.53028
6720458F09Rik	8.37511
6720460F02Rik	7.63352
6720463M24Rik	7.93054
8-Sep	6.51768
9030025P20Rik	7.21525
9030409G11Rik	6.83779
9030418K01Rik	6.61774
9030617O03Rik	6.98533
9030624J02Rik	6.84762
9130011J15Rik	7.71146
9230110J10	6.63807
9430015G10Rik	7.73193
9430016H08Rik	8.30932
9430023L20Rik	8.58004
9530058B02Rik	8.11712
9630055N22Rik	6.64553
9930012K11Rik	6.52123
A030007L17Rik	8.3028
A230050P20Rik	6.8762
A230054D04Rik	8.02378
A230106M15Rik	6.73286
A430093A21Rik	7.2781
A530057A03Rik	7.5496
A630007B06Rik	7.18525
A630018P17Rik	6.68161
A630054L15Rik	7.21996
A830007P12Rik	6.8842
AA673488	8.93717
AA960436	7.94807
AI413782	8.33352
AI449175	7.46277
AI450540	7.45621
AI467606	7.55407
AI480556	7.50629
AI747699	7.04628
AI837181	7.91883
AI847670	7.60489
AI931714	7.12643
AI987944	6.57918
AK122209	9.15195
AK122525	8.99566
AK129128	7.62466
AK129302	6.74453
AU019823	7.64286
AU020772	6.70624
AU022252$4930538K18Rik	7.00049
AU022751	7.8846
AU040320	6.8264
AW049765	6.51299
Aacs	7.2032
Aak1	7.26366
Aars2	7.99047
Aasdhppt	9.28286
Aass	8.5898
Aatf	8.48122
Abca1	7.85389
Abca3	6.48542
Abca7	6.62632
Abcb10$Abcb10	6.64372
Abcb1a	8.16442
Abcb6	7.26413
Abcc5	7.92785
Abcd1	7.77002
Abcf3	7.40683
Abhd10	7.80193
Abhd5	6.53962
Abhd6	7.34978
Abi2	8.60301
Abl1	7.08555
Abl2	8.12445
Abr	6.97415
Acaa2	7.63577
Acad10	6.5353
Acad8	7.0879
Acad9	7.84783
Acads	8.57008
Acbd4	6.6538
Acbd6	8.46326
Ace	6.65756
Acn9	7.49905
Aco1	7.50891
Acot1	8.18066
Acox1	7.29812
Acp6	9.49782
Acsl1	7.54882
Actn3	7.28637
Actr1b	7.5017
Actr3b	8.15388
Actr6	8.81239
Actr8	8.82484
Acvr1	6.51637
Acy1	8.11508
Acyp2	7.21914
Ada	7.66749
Adal	6.98792
Adam10	7.81727
Adam17	7.63815
Adam19	7.87789
Adam23	7.24729
Adamtsl4	6.5098
Adar	7.46387
Adck4	6.76816
Adck5	7.70924
Adcy2	7.35258
Add3	7.896
Adipor2	7.77864
Adk	7.51103
Adm	6.71713
Adora2a	6.87744
Adpgk	7.00893
Afap1	6.60854
Aff1	7.41213
Afg3l2	6.93481
Agk	7.51094
Agpat3	7.53348
Agpat6	7.07591
Agtpbp1	6.91929
Agtrap	8.96713
Agxt2l2	6.48757
Ahdc1	7.0262
Ahi1	6.83746
Ahr	6.67127
Aig1	7.00186
Aire	7.78442
Ak3l1	8.90558
Akap10	7.81247
Akap7	6.95166
Akap8l	8.24798
Akap9	6.98674
Akp2	8.47319
Akr7a5	7.63147
Akt2	7.48713
Aktip	7.51824
Aldh16a1	7.97458
Aldh3a2	7.05776
Aldh4a1	7.64987
Aldh7a1	8.42148
Aldoc	7.68035
Alg2	7.74345
Alg5	7.62394
Alg9	6.90929
Alkbh2	8.49811
Alkbh4	7.2112
Alkbh6	7.85454
Alkbh7	8.88653
Alkbh8	7.40506
Alpk3	7.91118
Als2	6.90581
Als2cl	6.54122
Als2cr2	6.59741
Ammecr1l	7.29187
Amotl1	7.28888
Ampd2	7.62762
Ampd3	7.41269
Amph	6.86549
Anapc10	8.94397
Anapc4	7.97454
Anapc7	8.87932
Angel1	7.86068
Ank	8.50321
Ankib1	6.68289
Ankra2	6.52379
Ankrd10	8.34173
Ankrd11	8.86973
Ankrd13b	6.72438
Ankrd16	7.59428
Ankrd17	8.96698
Ankrd24	7.33482
Ankrd26	6.80589
Ankrd28	8.28145
Ankrd40	8.17863
Ankrd46	8.44387
Ankrd47	8.06783
Ankrd50	7.3507
Anks1	6.8029
Anxa11	8.47715
Aof1	7.3954
Ap1g1	6.77644
Ap1g2	6.96077
Ap1s2	7.61163
Ap1s3	6.54849
Ap2a1	8.38774
Ap3s2	7.14048
Ap4b1	6.7894
Ap4e1	7.52686
Ap4m1	7.10923
Ap4s1	8.09111
Apba3$Apba3	7.80992
Apbb1	6.89372
Apbb2	6.88933
Apc	7.95826
Apex2	6.79601
Apitd1	8.21177
Apln	6.70851
Aplp1	8.29894
Apoa2	7.14641
Apoc1	9.29349
Apod$Apod	6.90137
Appbp2	8.72555
Appl2	7.72389
Aptx	7.20742
Araf	7.3302
Arc	7.12578
Ard1b	6.69847
Arf2	6.5493
Arfip2	7.78901
Arg2	7.25154
Arhgap1	7.52909
Arhgap12	7.52126
Arhgap21	8.32332
Arhgdig	7.51646
Arhgef1	8.00657
Arhgef12	7.44143
Arhgef18	7.23027
Arhgef2	7.38409
Arhgef7	7.5238
Arid2$1700124K17Rik	8.83654
Arid3b	7.6476
Arid4b	7.12043
Arih1	8.16315
Arih2$Arih2	8.38521
Arl15	7.95918
Arl2	7.74462
Arl4a	8.16698
Arl4c	7.42675
Arl4d	6.78892
Arl8a	7.94302
Armc6	7.8485
Armcx1	9.48995
Armcx2	9.34404
Arnt	6.71507
Arntl	7.16332
Arrb2	8.32065
Arrdc1	7.24122
Arrdc4	8.96068
Arsa	7.34441
Arv1	6.94454
Asb3	6.58006
Asb6	7.6643
Ash1l	7.20215
