Gene	Expr0
Whrn	5.75333
Wfs1	7.42057
Wfdc15a	5.99927
Wfdc1	5.92644
Wdtc1	8.33307
Wdsub1	7.0662
Wdr91	6.2768
Wdr85	7.57843
Wdr8	7.81969
Wdr79	7.55896
Wdr76	7.38783
Wdr68	8.12331
Wdr67	6.85285
Wdr60	5.78292
Wdr59	7.12433
Wdr54	6.29758
Wdr53	7.15577
Wdr51b	6.52472
Wdr51a	7.73587
Wdr48	7.85141
Wdr47	7.31119
Wdr46	7.57087
Wdr44	7.46817
Wdr41	7.16324
Wdr40a	7.83016
Wdr4	6.50821
Wdr37	6.60435
Wdr35	7.76031
Wdr34	7.83515
Wdr33	8.16856
Wdr32	6.6836
Wdr31	6.6573
Wdr24	7.62996
Wdr23	7.15957
Wdr20a	7.06233
Wdr13	6.66935
Wdfy3	6.95392
Wdfy2	7.54261
Wdfy1	8.19231
Wbscr27	7.54564
Wbscr16	7.59438
Wbp4	8.39131
Wbp2nl	6.83976
Wbp1	8.19366
Wasf3	6.95372
Wars$LOC100046672	8.39755
Wac$LOC100044766	8.28444
Vrk2	6.51779
Vps8	6.92545
Vps54	8.3194
Vps53	7.4369
Vps45	7.55595
Vps39	7.54268
Vps37b	6.52098
Vps37a	7.43338
Vps36	8.29548
Vps33b	7.49472
Vps33a	6.9327
Vps26b	7.79315
Vps24	7.31329
Vps18	6.32981
Vps16	8.44679
Vps11	7.4293
Vpreb3	5.81909
Vill	6.66487
Vhlh	6.61653
Vgll4	6.10241
Vezf1	8.25933
Vegfc	8.25221
Vegfb	8.14977
Vegfa	7.82472
Vcpip1	6.93978
Vcan	5.83264
Vcam1	6.00972
Vax2	7.0456
Vav2	6.42693
Vat1	7.87609
Vasn	6.51376
Vash1	6.81383
Vars2	6.77126
Vapb	7.80122
Vangl2	7.36148
Vamp8	7.87202
Vamp4	7.78026
Vamp2	6.30646
Vac14	7.61811
V1rb4	6.57751
Uvrag	8.15745
Utrn	8.35957
Utp14b	7.65957
Ust	6.47997
Usp8	8.41163
Usp6nl	7.23191
Usp54	7.4923
Usp46	7.40348
Usp45	7.63148
Usp42	8.13159
Usp40	6.02158
Usp4	8.13939
Usp37	8.29089
Usp33	8.39013
Usp32	8.24894
Usp30	6.30661
Usp3	7.42927
Usp27x	6.0765
Usp26	6.32482
Usp25	5.77498
Usp21	8.36519
Usp2	7.09762
Usp19	8.09908
Usp16	8.0171
Usp15	7.98544
Usp12	7.41927
Usf1	7.78051
Uros	7.45617
Uroc1	7.08985
Urm1	7.60923
Uqcc	7.08846
Upk2	6.90694
Upf2	8.14114
Upf1	7.18904
Unkl	7.70475
Unk	7.25633
Unc93b1	6.0374
Unc84b	7.34599
Unc5b	6.75681
Unc5a	6.06738
Unc45a	6.01001
Unc13b	6.01712
Unc119b	8.39314
Unc119	8.21323
Uhrf2	7.84034
Ugt8a	6.03175
