0	rp9	0.989743	0.333333
1	p	-0.899167	0.333333
2	l7Rn6	0.566386	0.333333
3	a	-0.99191	0.333333
4	Zzz3	-0.991948	0.333333
5	Zzef1	-0.577737	0.333333
6	Zyx	-0.823707	0.333333
7	Zyg11b	0.14531	0.333333
8	Zxdc	0.683363	0.333333
9	Zxdb	0.00489607	0.333333
10	Zwint	-0.969881	0.333333
11	Zwilch	0.17093	0.333333
12	Zw10	-0.397809	0.333333
13	Zswim5	-0.526276	0.333333
14	Zswim4	-0.725234	0.333333
15	Zswim3	0.466284	0.333333
16	Zswim2	-0.479782	0.333333
17	Zswim1	0.162116	0.333333
18	Zscan22	0.971251	0.333333
19	Zscan21	0.91446	0.333333
20	Zscan20	0.998877	0.333333
21	Zscan2	-0.666725	0.333333
22	Zscan12	0.866029	0.333333
23	Zscan10	0.285831	0.333333
24	Zrsr2	-0.241566	0.333333
25	Zrsr1	-0.077406	0.333333
26	Zranb3	0.360629	0.333333
27	Zranb2	0.657329	0.333333
28	Zranb1	0.447744	0.333333
29	Zpbp2	0.884106	0.333333
30	Zpbp	0.81477	0.333333
31	Zp3r	-0.990023	0.333333
32	Zp3	-0.0159294	0.333333
33	Zp2	0.963845	0.333333
34	Zp1	-0.317618	0.333333
35	Znrf4	-0.939588	0.333333
36	Znrf2	0.830507	0.333333
37	Znrf1	-0.165732	0.333333
38	Znrd1	0.778142	0.333333
39	Znhit4	0.876974	0.333333
40	Znhit3	0.0875228	0.333333
41	Znhit2	0.993177	0.333333
42	Znhit1	0.87633	0.333333
43	Znfx1	-0.931292	0.333333
44	Zmynd19	0.705173	0.333333
45	Zmynd15	0.399545	0.333333
46	Zmynd12	0.521628	0.333333
47	Zmynd11	-0.360393	0.333333
48	Zmynd10	0.769478	0.333333
49	Zmym5	-0.943038	0.333333
50	Zmym3	0.0813208	0.333333
51	Zmym2	-0.88455	0.333333
52	Zmym1	0.222091	0.333333
53	Zmpste24	0.015477	0.333333
54	Zmiz2	0.835996	0.333333
55	Zmiz1	-0.561661	0.333333
56	Zmat5	0.631465	0.333333
57	Zmat4	-0.0462218	0.333333
58	Zmat3	0.616924	0.333333
59	Zmat2	0.581363	0.333333
60	Zmat1	-0.781073	0.333333
61	Zkscan6	0.386987	0.333333
62	Zkscan5	0.740722	0.333333
63	Zkscan3	-0.403279	0.333333
64	Zkscan17	0.87181	0.333333
65	Zkscan14	0.980068	0.333333
66	Zkscan1	0.623177	0.333333
67	Zim1	-0.716208	0.333333
68	Zik1	-0.656785	0.333333
69	Zic4	0.942442	0.333333
70	Zic3	0.536144	0.333333
71	Zic2	0.934581	0.333333
72	Zic1	0.548398	0.333333
73	Zhx3	0.0295296	0.333333
74	Zhx2	-0.299019	0.333333
75	Zhx1	0.444831	0.333333
76	Zh2c2	0.796487	0.333333
77	Zgpat	0.703378	0.333333
78	Zfyve9	-0.103973	0.333333
79	Zfyve28	-0.607152	0.333333
80	Zfyve27	0.894444	0.333333
81	Zfyve26	0.521636	0.333333
