Gene	Expr0	Expr1	Expr2
Cyp27a1	5.24062	5.15241	4.91616
Cyp24a1	3.80555	3.68216	3.82251
Cyp1a2	4.03322	3.83338	4.05631
Cyp1a1	3.85793	4.13904	3.95971
Cyp19a1	3.85328	3.74657	3.85253
Cyp17a1	4.8365	5.15887	5.18077
Cyp11b2	3.9052	4.02271	4.09133
Cyp11b1	3.67869	3.59676	3.58207
Cylc1	2.33807	2.31588	2.50502
Cygb	4.92749	4.94864	4.6874
Cyfip2	6.06371	4.40727	4.30778
Cyct	8.41811	3.78	3.81528
Cybrd1	4.83993	4.87081	5.75585
Cybb	3.62705	3.46374	3.34708
Cyb5r2	5.28212	5.30469	4.98304
Cyb5d2	4.23255	4.75926	4.92485
Cyb561d1	3.72588	4.02368	3.997
Cxxc4	3.47468	3.57431	3.66655
Cxcr6	3.02309	4.27961	2.96774
Cxcr4	3.77759	3.576	3.37163
Cxcr3	5.38381	5.62673	5.34338
Cxcl9	3.70421	3.73728	3.92501
Cxcl4	3.87896	4.96608	4.09419
Cxcl3	3.21872	3.49252	2.29249
Cxcl2	2.75251	3.65244	2.6646
Cxcl15	3.80994	4.6666	3.74084
Cxcl13	4.51706	4.41977	4.62609
Cxcl11	4.13431	3.81797	3.82028
Cxcl10	5.2211	4.79986	4.53192
Cx3cr1	3.96063	4.32023	4.01179
Cuzd1	4.58189	4.4411	4.49836
Cutl2	3.84688	3.44944	3.32766
Cubn	5.58078	4.0114	4.22628
Cttnbp2	4.79368	4.73655	4.78549
Ctss	3.45117	4.89249	3.28742
Ctsr	2.73861	2.55837	2.83776
Ctsq	3.71145	3.77971	4.00636
Ctso	4.14258	6.03393	5.97355
Ctsm	2.62105	2.46572	2.38216
Ctsj	2.43831	2.35396	2.34897
Ctsg	4.23598	4.39981	4.54536
Ctse	5.25598	5.42391	5.1668
Cts8	2.69407	2.72945	2.79401
Cts7	2.42307	2.49487	2.40819
Cts6	2.46023	2.45403	2.47914
Cts3	2.70918	2.6303	2.78476
Ctrl	5.45946	4.93662	5.39255
Ctrc	4.1359	4.44827	4.26149
Ctrb1	5.46787	5.413	5.16572
Ctnna3	3.89889	3.68303	4.12121
Ctnna2	3.16633	3.86882	3.17794
Ctla4	3.06603	3.41359	3.33891
Ctla2a	4.2975	7.95157	4.0131
Cstf3	3.62881	4.09381	3.48913
Cstad	3.99364	5.02179	3.97628
Csta	2.40404	2.41183	3.5749
Cst9	3.80527	3.78623	3.7435
Cst8	3.01155	2.74912	2.95882
Cst7	4.32736	3.88054	4.00271
Cst6	4.96814	5.44017	5.54048
Cst13	3.73321	3.62238	3.52426
Cst11	3.07903	2.90531	2.96741
Cst10	2.76101	2.65589	2.59373
Csrp3	3.75669	3.96444	3.88299
Csprs$Csprs	4.00171	2.65253	6.51602
Cspg5	5.77975	4.99835	5.14971
Csn3	3.66723	3.8834	4.38935
Csn2	2.669	2.73377	2.75446
Csn1s2b	3.12243	3.06853	3.07011
Csn1s2a	2.8398	2.86942	2.89427
Csn1s1	4.28428	3.97978	7.47679
Csmd3	4.07606	4.20315	4.92608
Csmd1	3.31017	3.26923	3.34969
Csl	4.1634	4.16339	4.17326
Csf3r	4.68117	4.54739	4.39927
Csf3	4.58156	5.09264	4.7277
Csf2rb2$Csf2rb	3.10885	3.15183	3.00909
Csf2rb$Csf2rb	2.92771	3.25254	2.85856
Csf2	4.04756	4.17907	3.94796
Csdc2	5.23454	5.22883	5.17777
Crym	4.5414	3.28942	4.36666
Crygs	3.89829	4.02482	3.90629
Crygn	3.69535	3.04466	3.39954
Crygd	3.39995	3.3138	3.05759
Crygb	2.97951	2.95511	3.24701
Cryga	3.80023	3.57168	3.70897
Crybb3	5.54661	5.42802	5.35365
Crybb2	5.23819	5.79073	5.20975
Cryba4	3.65631	3.60734	3.70545
Cryba2	5.25705	5.01718	5.33965
Cryba1	3.72043	3.78719	3.67164
Crxos1	4.87831	3.55202	4.27463
Crx	4.38702	4.62505	4.34959
Crtam	3.72545	3.4547	3.53557
Crtac1	5.38079	4.52113	4.62933
Crp	3.13432	3.21178	3.11379
Crispld1	3.71742	3.8081	3.54014
Crisp4	2.48994	2.3874	2.62258
Crisp3	2.0908	1.95872	2.05822
Crisp2	2.41071	2.15733	2.31409
Crisp1	4.13206	2.25217	2.6792
Crip3	3.29058	3.23091	3.48047
Crhr2	4.3422	4.18526	4.50978
Crhr1	5.31137	5.66433	5.33266
Crhbp	3.1291	3.2811	2.8784
Crh	2.39987	2.39048	2.82767
Crem	5.14876	5.7239	5.03747
Creg2	3.13841	3.06577	3.15878
Creb5	3.20948	3.61765	3.24807
Creb3l4	3.73716	3.69036	3.65834
Crb1	5.14032	4.96051	5.06201
Cr2	4.03378	3.91771	4.08744
Cpz	4.40619	4.53318	4.34184
Cpxm2	4.14003	7.01006	4.49413
Cpt1b	4.78362	4.75296	4.5875
Cps1	3.77248	3.18099	3.43811
Cpne9	4.66168	3.27445	3.72242
Cpne7	4.55936	4.63011	4.59352
Cpne4	2.92555	2.92309	3.07245
Cpn2	3.29327	3.78529	3.30852
Cplx4	3.60032	3.43087	3.54957
Cplx3	4.05892	4.28355	4.22958
Cpeb3	5.3297	4.84011	5.1663
Cpb2	3.83858	3.06543	3.02802
Cpb1	4.00236	3.73035	4.08754
Cpa6	3.40108	6.27878	3.65602
Cpa5	2.86977	2.82655	2.93405
Cpa4	3.76032	4.61555	3.88916
Cpa3	3.77631	3.71501	3.77299
Cpa2	4.56334	4.01057	3.83912
Cpa1	4.18472	4.3191	4.02513
Cp	4.09947	4.13893	3.99671
Cox8b	4.98937	4.78853	4.96112
Cox7b2	5.94409	2.38795	2.58502
Cox4i2	5.02653	5.22327	4.90729
Cox17	3.75948	3.7629	3.5342
Coro6	4.09087	4.75861	3.95176
Coro2a	4.96391	4.5664	4.87141
Coro1a	5.4562	4.79966	4.47947
Corin	2.67201	2.71878	2.74418
Comp	4.4468	4.915	4.34656
Colq	4.2506	4.45846	4.34518
Colec11	4.20474	4.2746	4.45078
Colec10	2.51937	2.70776	2.39253
Col9a3	5.41755	5.01297	4.95136
Col9a2	5.7916	4.35481	4.50053
Col9a1	4.79432	5.31487	4.91992
Col8a2	3.7769	5.2506	3.05555
Col4a6	4.4928	5.28089	4.91019
Col4a4	3.42891	3.45329	3.49102
Col4a3	3.67569	3.89374	3.61571
Col24a1	2.18876	2.50317	2.19525
Col23a1	3.58843	3.60544	3.52105
Col19a1	3.66509	3.77816	3.77132
Col17a1	3.7666	3.44152	6.16149
Col15a1	4.72638	6.49186	4.78104
Col14a1	3.66698	4.85956	3.82751
Col13a1	5.31482	3.76362	4.08092
Col11a2	4.42325	4.30517	4.25734
Cobll1	4.78519	6.39331	4.79306
Cntnap4	4.33935	4.57156	4.28471
Cntnap2	4.2849	3.23242	3.33857
Cntnap1	3.52362	3.20076	3.43491
Cntn6	2.59496	2.74545	2.6319
Cntn4	2.92161	2.95277	2.86712
Cntn3	3.32815	3.39318	3.57312
Cntn2	4.87142	4.6658	4.75639
Cntn1	4.27467	4.23001	4.34587
Cnr2	3.39388	3.43042	3.44353
Cnr1	4.88675	4.77356	4.69123
Cnnm1	4.83494	4.14793	4.38327
Cnksr2	3.44483	3.06112	3.25396
Cnksr1	4.47284	4.05379	5.79829
Cnih3	3.54664	3.20333	3.50311
Cnih2	5.5205	5.80759	5.05077
Cngb3	2.67973	2.88335	2.67428
Cnga4	3.33781	3.29011	3.40985
Cnga2	3.77903	3.40898	3.63519
Cnga1	3.90819	4.1441	3.95691
Cnfn	4.07862	4.27104	4.71026
Cndp1	2.8236	2.76059	2.81186
Cnbp2	2.81283	2.78079	2.74008
Cmtm8	5.20881	5.38359	5.23489
Cmtm5	3.72524	3.81418	3.68494
Cmtm2b	4.1598	3.95583	4.31022
Cmtm1	3.81746	3.8715	3.71429
Cml5	2.88985	3.04371	2.92213
Cml3	3.3563	3.42429	5.52478
Cml2	4.63046	3.3784	4.28254
Cml1	4.93064	4.78781	5.64014
Cmklr1	6.26741	5.86433	3.85252
Cmbl	4.07256	3.91195	5.90896
Cmah	4.00278	4.98923	4.03684
Cma1	4.04041	4.52275	4.27189
Clrn1	4.99245	4.97107	4.90749
Clps	4.36425	4.24756	3.89254
Clnk	3.38081	2.5981	3.08982
Clmn	5.37471	5.38366	5.21904
Clip2	5.27156	6.03047	5.11209
Clic5	3.23756	3.36264	3.21191
Clic3	4.21389	3.96726	6.77252
Clgn	5.40083	4.2275	4.21631
Clec7a	3.79965	4.20622	4.01808
Clec5a	3.11205	3.37886	2.85353
Clec4n	2.75383	3.88128	2.61369
Clec4g	4.88395	4.86787	5.08603
Clec4f	5.13216	5.43447	5.25152
Clec4e	2.8283	2.92111	2.94898
Clec4b1$Clec4a2	2.29545	2.50569	2.23416
Clec4a3	2.55521	2.4935	2.53355
Clec4a2$Clec4a2	4.38545	4.54455	4.33266
Clec2i	3.30249	3.37099	5.72665
Clec2h	2.5648	2.62552	2.71352
Clec2g	2.85504	2.776	5.92141
Clec2e	5.26828	5.54078	5.3376
Clec1b	2.80495	2.81799	2.80967
Clec1a	3.31089	3.3254	3.34194
Clec14a	3.07672	3.6927	3.46133
Cldnd2	3.64511	3.96028	3.61509
Cldn8	2.54928	2.43941	2.87261
Cldn7	6.51912	3.91534	4.8081
Cldn5	5.30418	4.76417	4.99407
Cldn23	2.66943	2.78447	3.30596
Cldn2	4.68223	4.52889	4.66188
Cldn19	3.90468	3.87221	3.898
Cldn18	4.06815	3.93604	3.9855
Cldn16	4.4817	4.75331	4.36263
Cldn15	4.04687	4.40599	4.17483
Cldn14	5.02162	4.82516	5.19986
Cldn13	4.70414	4.56411	4.56313
Cldn1	3.37283	4.03282	5.07319
Clcn1	5.03273	5.42846	4.87062
Clca6$AI747448	3.84503	3.96529	3.92888
Clca5	2.60678	2.43596	2.55424
Clca4	4.87883	2.8337	2.59513
Clca3	2.80052	2.66475	2.67931
Clca2$Clca1	2.29987	2.22483	2.29785
Clca1$Clca1	2.48232	3.4524	2.50025
Ckmt2	2.99241	2.57876	2.78027
Cited4	4.91437	4.07023	4.31581
Cilp	3.1617	3.43913	3.14053
Ciita	3.99309	4.17836	4.10813
Cidec	2.83225	3.1024	2.89937
Cidea	7.136	4.27271	4.73764
Cib2	4.58589	5.53562	5.19307
Chx10	4.61849	4.62369	4.46896
Chst9	2.2441	2.53317	2.44701
Chst8	4.12014	3.41889	3.31832
Chst5	5.61498	5.0521	4.9545
Chst4	3.0253	2.93102	3.08499
Chst3	5.25928	5.38472	5.4264
Chst2	4.41016	6.69438	4.41562
Chst10	5.25184	4.77905	4.36753
Chrng	4.21151	4.38553	4.32493
Chrne	5.25681	5.23423	5.1711
Chrnb4	4.23379	4.07473	4.05683
Chrnb3	4.47891	4.92451	4.46556
Chrnb2	4.53089	4.50883	4.46156
Chrna9	6.32753	3.93114	3.87935
Chrna7	5.59609	4.92419	4.18209
Chrna6	4.60822	4.82588	4.56368
Chrna5	3.0382	2.59935	2.68136
Chrna4	4.38759	4.43462	4.23528
Chrna3	3.66386	3.79887	3.65976
Chrna2	3.72147	3.65815	3.76778
Chrna1	4.25786	4.9415	4.1812
Chrm4	3.5172	3.41834	3.65729
Chrm3	3.30243	3.35565	3.08917
Chrm1	4.94352	5.24451	5.01272
Chrdl2	4.60961	4.57567	4.64981
Chrdl1	3.32178	4.51557	3.40996
Chodl	3.37469	4.00312	3.49124
Chn2	4.43061	3.63606	4.12763
Chmp4c	5.65812	4.02876	5.89637
Chml	4.23801	4.48876	4.53727
Chl1	2.8652	2.9352	3.36309
Chia	4.17607	4.238	4.40499
Chi3l4$Chi3l3	3.4546	3.3067	3.34949
Chi3l3$Chi3l3	2.54956	2.441	2.56487
Chgb	3.25764	3.51631	3.45187
Chga	5.43016	3.54268	3.89058
Chd5	5.38669	5.28391	4.98759
Chchd8	5.23724	5.19927	5.27686
Chat	4.07944	3.98816	4.11771
Chad	5.25597	5.0947	5.48371
Cga	4.60648	4.6044	4.87914
Cftr	2.12862	2.23693	2.2196
Cfp	5.9239	5.15563	4.96908
Cfi	4.37427	4.44237	4.28115
Cfhr1	2.27069	2.30787	2.19761
Cfh	3.08889	2.74731	7.49698
Cfd	4.30684	4.57027	4.64147
Cfc1	4.71299	4.39695	4.62311
Cfb	4.74573	4.84487	5.11739
Cetn1	2.94797	2.82415	3.12415
Ces7	3.98204	4.04493	4.02784
Ces6	3.59243	3.57032	3.62894
Ces5	3.09619	3.03374	3.38247
Ces3	2.83853	2.9035	2.85868
Ces2	4.38324	4.39172	4.36011
Ces1	3.04048	3.2153	3.07907
Cerkl	2.42615	2.20673	2.57154
Cer1	3.82139	3.71311	3.92362
Cep135	5.98093	4.67328	5.2591
Centg1	4.42016	4.14837	4.2516
Centd3	3.61095	3.4726	3.40537
Centb1	5.75242	5.06302	5.14144
Centa2	5.82586	4.41142	5.81037
Cenpo	5.5157	4.73541	5.11416
Cend1	4.55213	4.71187	4.41568
Celsr3	5.89409	4.95556	5.08501
Cel	4.89801	4.9644	5.05882
Cecr6	5.39736	5.29721	5.53272
Ceacam9	4.66884	4.84476	4.86925
Ceacam20	5.18985	3.28591	3.36333
Ceacam18	4.99056	4.95365	4.89149
Ceacam14	2.05335	2.04853	2.24114
Ceacam13	2.23287	2.46595	2.34029
Ceacam12	2.51698	2.6947	2.96585
Ceacam11	2.24175	2.4619	2.18594
Ceacam10	3.32668	3.17884	4.15392
Cdx4	2.80644	2.42846	2.58885
Cdx2	4.87675	4.74044	4.75257
Cdx1	4.47242	4.22123	4.0809
Cds1	6.04649	4.69103	4.98362
Cdrt4	4.42228	4.43916	4.54346
Cdkl4	3.38858	4.2338	3.70952
Cdkl3	3.57701	3.73822	3.54364
Cdkl1	3.90769	4.75583	4.03392
Cdk5r2	3.72992	3.6932	3.87667
Cdk5r1	4.93896	5.33001	4.94453
Cdk3	5.17549	4.59707	5.05005
Cdh8	2.74607	2.70031	2.77824
Cdh7	2.36597	2.36297	2.38931
Cdh6	4.89826	5.44734	5.25246
Cdh5	3.57396	3.91516	3.53254
Cdh4	5.24285	4.83212	5.09859
Cdh26	4.78815	4.83059	5.10188
Cdh23	4.83252	4.50078	4.6601
Cdh18	2.49555	3.07197	2.65151
Cdh17	3.80803	4.82192	3.98158
Cdh16	4.71403	4.91128	4.9621
Cdh10	3.45712	6.48198	3.59055
Cdcp1	5.10073	4.7247	5.45128
Cdc14a$Cdc14a	4.6877	3.79313	4.32033
Cd96	4.4792	4.38796	4.4006
Cd93	3.53536	3.7532	3.57906
Cd8a	3.87581	3.7406	3.90046
Cd86	3.84671	3.82801	3.78064
Cd84	3.3344	3.41246	3.5301
Cd83	2.94518	2.81022	2.80348
Cd79b	4.99379	4.30113	4.15196
Cd79a	5.39838	4.92758	4.74219
Cd72	4.65105	4.63053	4.52694
Cd70	3.71662	3.87858	3.81618
Cd7	5.37545	5.14957	5.38184
Cd69	2.49544	2.63345	2.62384
Cd6	4.97439	4.78558	4.91747
Cd5l	4.14788	3.99383	4.21935
Cd53	3.61234	4.19108	3.45725
Cd52	3.32793	4.73074	3.14735
Cd5	3.98533	3.92861	3.87989
Cd48	2.86808	3.11197	3.08288
Cd46	5.04845	5.15015	5.23194
Cd40lg	4.84922	4.80983	4.80403
Cd4	5.37807	5.53439	5.2829
Cd3g	2.87325	2.89045	2.91138
Cd3d	4.52362	4.69694	4.4343
Cd37	6.01125	4.5907	5.49476
Cd36	2.5299	3.05647	3.10836
Cd34	5.06052	4.82935	5.04952
Cd33	3.43653	3.5429	3.43004
Cd300lg	3.33205	3.2814	3.33992
Cd300lf	5.04021	4.82428	4.91772
Cd300lb	3.41107	3.57687	3.30265
Cd300a	3.30094	3.27801	3.24519
Cd28	2.95925	2.91921	3.05862
Cd274	4.35189	4.44086	4.73011
Cd27	2.97393	2.7818	3.04635
Cd247	3.36094	3.22444	3.23791
Cd244	3.07306	3.01526	3.20528
Cd226	2.39202	2.47703	2.35077
Cd22	5.15324	5.03291	4.99932
Cd209e	2.98216	2.80138	3.04882
Cd209d	4.45058	4.54573	4.49731
Cd209c	4.41172	3.96662	4.48434
Cd209b	4.06562	4.0999	4.19988
Cd209a	3.99775	4.02619	3.94976
Cd207	3.89345	3.76996	3.90145
Cd200r4	2.21222	2.40477	2.27761
Cd200r3	2.512	2.60998	2.48805
Cd200r1	3.34969	3.56582	3.44051
Cd2	3.87106	3.83844	3.83926
Cd1d2	4.31033	4.29871	4.07232
Cd19	5.06848	4.81914	4.91216
Cd180	3.90836	3.96886	4.45618
Cd177	2.9321	2.59483	2.94012
Cd164l2	4.37934	3.96067	6.15095
Cd163	2.44975	2.32428	2.49764
Cd160	4.61469	5.01869	4.74784
Cct6b	4.77566	4.19529	4.4521
Ccrl2	4.87357	5.20098	4.91253
Ccr9	3.24977	3.27531	3.49632
Ccr8	3.42543	3.53633	3.32772
Ccr7	3.74876	4.01671	3.72298
Ccr6	4.83254	4.48304	5.04716
Ccr5	2.70432	3.13522	2.85716
Ccr4	4.35288	4.53048	4.4008
Ccr3	2.71328	2.79259	2.94775
Ccr2	5.00426	4.69145	4.84594
Ccr1l1	3.47853	3.79514	3.85225
Ccr1	3.27265	3.78613	3.06103
Ccnjl	4.73749	3.12119	6.48934
Ccnj	5.20961	4.61931	5.71518
Ccnb3	2.62126	2.66212	2.5349
Ccna1	3.68203	3.84327	3.5863
Ccl9	3.77433	4.66181	3.67505
Ccl8	4.15295	4.99869	4.21913
Ccl6	3.41132	3.90143	3.48403
Ccl5	4.68418	5.73592	4.73135
Ccl4	5.41976	5.46998	5.47928
Ccl3	4.46652	4.35813	3.67566
Ccl28	4.63241	4.68661	4.53743
Ccl25	5.4584	5.68508	5.14843
Ccl24	5.43874	5.46011	5.41672
Ccl22	4.66377	4.74049	4.85767
Ccl21a	3.84415	3.94193	3.94074
Ccl19	4.39442	4.6552	4.44417
Ccl12	2.8085	3.60046	2.97042
Ccl11	3.21344	3.63169	3.19606
Ccl1	4.66381	4.68759	4.76232
Cckbr	5.47974	5.34878	5.43877
Cckar	2.44313	2.2556	2.41602
Cck	3.55834	5.47112	3.46048
Ccin	4.54761	4.7727	4.68131
Ccdc96	4.31759	4.26197	4.91421
Ccdc93	5.00357	5.44755	5.62831
Ccdc88b	5.00576	5.10724	4.71902
Ccdc87	4.62545	4.13082	4.52064
Ccdc85a	4.3025	2.91142	3.04506
Ccdc83	3.66928	3.77401	3.69903
Ccdc82	4.3927	6.36884	5.04568
Ccdc79	3.45026	3.05856	3.12281
Ccdc73	3.0607	2.52965	2.72059
Ccdc70	3.3002	3.37306	3.37576
Ccdc7	2.52319	2.6077	2.64257
Ccdc69	5.38939	5.2774	5.40082
Ccdc67	3.74573	3.68425	3.67312
Ccdc65	3.80667	3.66738	3.57162
Ccdc64b	4.38876	3.93031	4.07942
Ccdc63	5.72671	5.3024	5.29538
Ccdc60	5.0209	4.93395	5.04047
Ccdc57	4.09998	4.19876	4.48202
Ccdc54	2.9334	2.86592	2.8827
Ccdc46	2.96671	2.58963	2.57079
Ccdc40	5.75291	4.91176	5.07072
Ccdc39	2.76449	2.47597	2.43496
Ccdc38	3.21472	2.66855	3.05786
Ccdc28b	4.28666	4.51283	4.55377
Ccdc28a$Ccdc28a	5.10513	5.18712	5.43444
Ccdc25	3.58363	3.30979	2.96915
Ccdc130	5.62305	5.13899	5.48037
Ccdc125	4.14472	3.52717	3.3903
Ccdc116	3.89527	3.80626	5.4705
Ccdc113	3.38384	2.56129	2.61781
Ccdc110	3.09627	3.0919	3.11427
Ccdc11	4.5652	4.42827	4.50136
Ccdc108	3.52484	3.70711	3.67703
Ccdc103	4.56086	4.49786	4.59891
Ccbp2	4.69091	4.61946	4.79949
Ccbl1	4.6971	4.22672	5.56288
Ccbe1	4.42817	7.4862	4.06504
Cbx1$Cbx1	5.31243	5.27993	5.14723
Cbln4	2.78957	3.04246	2.77385
Cbln3	3.71127	3.55176	4.29762
Cbln2	3.89971	3.78921	3.98234
Cbln1	5.99318	5.54747	4.58352
Cbfa2t3h	4.4562	4.43928	4.99071
Cav3	3.95766	5.23812	3.85152
Catsper3	3.54062	3.40599	3.74981
Catsper2	5.19876	5.08676	5.41873
Catsper1	4.1607	4.43196	4.06561
Casz1$Casz1	5.3531	5.18816	5.61069
Casr	4.79193	4.96541	4.97428
Casq1	5.54276	4.48832	4.12092
Casp4	3.62282	4.22875	3.70021
Casp14	3.8357	3.58967	3.38296
Casp1	2.85081	2.93988	3.82928
Caskin1	4.74341	4.22671	4.58583
Cartpt	3.25557	3.22697	3.3271
Carkl	3.93889	3.93295	4.48767
Carf	3.19735	3.4806	3.51211
Card11	4.12242	3.78261	4.05987
Car9	5.20875	5.66977	5.15881
Car8$Car8	3.47076	2.87893	2.89222
Car7	4.92107	4.87322	4.74976
Car6	4.66794	6.73369	4.61452
Car5b	4.59612	5.46817	4.55107
Car5a	4.94078	4.50448	4.73703
Car4	7.02877	2.97435	3.46972
Car3	5.90523	4.73277	4.61069
Car15	5.37604	5.37857	5.14304
Car13	5.73766	5.47988	3.7517
Car10	3.40394	3.77525	3.45939
Car1	3.70681	3.83378	3.63812
Capza3	2.8116	2.69348	2.79762
Capsl	6.5916	2.54606	4.49449
Caps2	4.57884	2.72122	2.71999
Capn9	4.23119	4.13434	4.89477
Capn8	5.02721	4.86004	5.02516
Capn3$Capn3	5.70468	4.24432	4.50737
Capn3	4.84803	4.81964	5.243
Capn13	3.71043	4.0535	3.71631
Cap2	4.20454	7.06473	3.92696
Camp	4.18511	4.24917	4.16166
Camkv	5.93576	4.60901	4.86997
Camk4	4.84773	4.86648	4.69318
Camk2b	6.17621	5.19629	4.90686
Camk2a	5.10448	5.20579	5.10965
Camk1g	5.22337	5.51371	5.18116
Calr3	3.68942	3.36772	3.70609
Caln1	3.56834	3.47974	3.5861
Calml3	3.43685	3.28524	3.32613
Calm4	4.28377	4.33175	4.48742
Calcr	3.14887	3.14992	3.33842
Calcoco2	7.68179	2.43765	4.0111
Calcb	3.65754	2.96922	8.64236
Calca	8.24454	3.67548	4.08875
Calb1	2.80118	2.49056	2.64576
Cage1	2.70856	2.45753	2.65677
Cadps2	4.54705	4.23402	4.9312
Cadm2	2.30539	2.69359	2.27708
Cacng8	4.97704	4.89104	4.5274
Cacng6	4.37258	3.71753	3.72063
Cacng5	4.33209	4.24064	4.4002
Cacng4	4.9739	4.97233	4.61639
Cacng3	3.76076	3.70961	3.90316
Cacng1	3.62334	3.57981	3.59303
Cacnb4	2.82026	3.05214	2.81178
Cacnb2	3.85597	4.34285	3.72597
Cacnb1	4.95125	4.42746	5.30926
Cacna2d4	3.9484	4.05059	3.92002
Cacna2d3	3.42401	3.87231	4.52693
Cacna1s	4.46885	3.53773	3.72689
Cacna1h	4.03915	4.99563	3.81671
Cacna1f	4.97511	4.94435	5.02521
Cacna1d	4.98897	5.27723	5.0209
Cacna1c	3.89373	6.95869	4.10059
Cacna1b	4.89193	4.95569	4.80903
Cacna1a	5.75577	4.83179	5.06866
Cabyr	3.61197	3.52735	3.81478
Cabp7	3.16493	2.71579	2.69741
Cabp5	4.22608	3.99975	4.23894
Cabp4	4.44992	3.5641	3.80795
Cabp2	5.35127	5.33881	5.26935
Cabp1	5.68498	3.81945	4.47375
Cables1	4.74703	5.45147	4.96384
C920005C14Rik	3.52462	3.96518	3.43829
C9	3.35834	3.92461	3.51705
C8g	5.55071	4.46907	5.55895
C8b	4.97535	4.60058	4.5584
C8a	2.8179	2.72809	2.85297
C87499	3.843	3.66863	3.80812
C87436	4.81187	5.21458	5.44565
C86695	4.33973	3.6131	3.65631
C85627	3.37189	3.70053	3.3312
C79127	4.45738	3.82031	4.00767
C730048C13Rik$C730048C13Rik	2.96777	3.02171	3.06327
C730036D15Rik	3.52863	3.40754	3.70184
C730034F03Rik	4.94186	5.09587	4.92525
C730027J19Rik	2.90637	2.95819	2.80845
C730007P19Rik	3.47995	3.18028	3.20872
C630035N08Rik	4.75473	5.25112	4.80016
C630028N24Rik	5.73507	5.5634	4.91287
C630007B19Rik	3.64268	3.69708	3.84703
C6	5.1928	5.22313	5.18886
C5ar1	3.92411	4.23119	3.88555
C4bp	3.92679	3.89817	4.0145
C430048L16Rik	4.97082	4.94198	4.93598
C3ar1	3.61251	4.48123	3.71131
C330043M08Rik	4.47627	4.89378	5.61233
C330027C09Rik	5.50487	5.30907	5.34595
C330011K17Rik	3.81301	4.99285	3.75122
C330005M16Rik	5.06701	5.45164	5.06314
C330001K17Rik	5.05657	4.28966	4.59761
C3	4.15277	4.37051	6.50592
C230095G01Rik	3.70965	3.86882	3.76058
C230094A16Rik	3.43285	3.61912	3.91434
C230086A09Rik	2.67556	2.62132	2.72058
C230071H18Rik	5.35036	5.24567	5.20719
C230013L11Rik	4.96239	4.04312	4.52887
C230004F18Rik	3.51173	3.18278	3.61689
C2	4.63325	4.81274	4.45389
C1qtnf9	4.05651	4.4172	4.20142
C1qtnf7	2.74698	3.17481	2.86857
C1qtnf4	4.75958	4.29269	4.66799
C1qtnf3	2.61709	9.06678	2.53326
C1qtnf2	3.87591	5.3716	4.08486
C1ql2	4.56122	4.59219	4.54306
C1qc	3.75446	5.12465	3.746
C1qb	3.22111	4.90981	3.13331
C1qa	4.10535	6.08216	4.23109
C130090K23Rik	4.12871	3.88448	5.74867
C130079G13Rik	2.35368	2.19706	2.41808
C130071C03Rik	2.76278	2.66101	2.92968
C130050O18Rik	3.76451	3.89926	3.77808
C130038G02Rik	5.8041	5.4104	4.78501
C130034I18Rik	5.77696	4.61786	5.16365
C130026L21Rik	5.10379	5.45849	5.246
C030046E11Rik	4.91676	5.1166	4.9852
C030039L03Rik	5.82894	4.30411	4.88256
C030030A07Rik	2.47329	2.42251	2.45179
C030019I05Rik	3.4391	3.44408	3.1519
C030014M07Rik	5.32403	4.93538	4.81209
C030014K22Rik	4.51644	4.43381	4.44617
C030003D03Rik	4.99109	6.09203	5.17642
Bzrpl1	4.49322	4.69896	4.41493
Bzrap1	4.64193	4.24573	4.4668
Butr1	3.71748	3.63233	3.82215
Bud31$Bud31	4.70002	4.76895	4.70969
Btnl9	2.81032	2.83083	2.84569
Btn1a1	2.83926	3.01913	3.20598
Btla	3.80831	3.77563	4.64937
Btk	4.66149	4.61256	4.47063
Btg4	3.85669	3.80302	4.19953
Btc	3.68407	3.93697	3.7775
Bst1	3.66449	3.28514	3.21764
Bspry	5.47587	4.3302	5.87862
Bsnd	5.40248	5.21742	5.33108
Bsn	4.86169	4.53835	4.74038
Brunol6	3.02779	3.03775	2.87899
Brsk2	3.60502	3.61442	3.70189
Brs3	4.75456	4.74827	4.74563
Brdt	4.04045	3.6098	3.47467
Bpil2	2.34549	2.39821	2.4887
Bpil1	4.80348	4.81438	4.54314
Boll	4.95092	4.92605	4.77535
Bnipl	4.46159	3.52988	4.08117
Bnc1	3.01791	4.95679	3.16701
Bmx	2.73468	2.97498	5.78589
Bmpr1b	4.21212	6.50423	3.90473
Bmp7	4.36487	3.62218	4.7363
Bmp6	5.19649	4.52084	6.03689
Bmp5	3.3468	3.7035	3.36512
Bmp2	3.70709	4.8276	3.68176
Bmp15	3.53036	3.59697	3.65433
Bmf	4.7055	4.32938	4.23094
Blr1	3.44565	3.505	3.50604
Blnk	7.14151	4.01465	4.06612
Blk	4.6053	4.64566	4.85012
Birc1f	4.7358	5.0059	4.82655
Bik	4.76681	4.09905	4.17907
Bicd1	4.7991	4.34924	5.68758
Bhmt2	3.41147	3.1361	3.16439
Bhmt	5.73364	4.29782	5.40626
Bhlhb8	5.20451	4.75305	4.99834
Bhlhb4	4.10862	4.02252	4.08316
Bhlhb3	4.60494	5.01763	4.81562
Bfsp2	5.20185	5.40249	5.10711
Bfsp1	4.18438	4.39521	4.05151
