Gene	Expr0	Expr1	Expr2
Vtcn1	3.4934	3.75798	4.66642
Vsx1	4.4105	4.54808	4.55453
Vstm2	2.51038	2.56374	2.78655
Vsnl1	4.12791	4.14702	4.23498
Vsig8	3.05079	3.41177	3.04069
Vsig2	5.17252	4.59529	4.51449
Vsig1	3.27122	3.45846	3.27703
Vps13c	4.40807	4.32142	4.37683
Vpreb1	5.53137	4.62827	4.93701
Vnn1	4.06654	7.29477	4.76899
Vldlr	4.38544	6.64309	3.87849
Vit	3.3448	3.22556	4.39432
Vipr2	3.95851	3.85663	3.80366
Vipr1	3.54918	3.55862	3.74675
Vip	3.04696	3.69438	3.00602
Vil1	3.78193	2.74556	3.0244
Vgll2	4.08288	3.92167	4.05837
Vgll1	3.85594	4.1547	3.95068
Vgf	5.51636	5.54809	5.10557
Veph1	3.56013	3.62333	3.70957
Vdr	4.77486	6.25743	5.24559
Vax1	4.51333	4.61697	4.32126
Vav3	3.86654	4.39267	3.72098
Vav1	3.10142	3.23088	3.12706
Vamp1	5.19071	4.84163	5.13182
V2r16	2.68457	2.28423	2.72011
V1rd9	3.06176	2.98294	3.1104
V1rd6	5.3109	5.15388	5.40283
V1rd4	3.25667	3.18268	2.90468
V1rd3	3.37669	3.39159	3.2839
V1rc8$V1rc22	2.68773	2.60574	2.64583
V1rc7	2.43144	2.54628	2.61419
V1rc6	2.46913	2.40005	2.48667
V1rc5	2.38962	2.34494	2.44814
V1rc3	2.07561	2.16205	2.04312
V1rc22	2.12789	2.12306	2.17448
V1rc2	2.50298	2.40443	2.65109
V1rc1	3.24956	3.55494	3.2291
V1rb8	2.52198	2.64856	2.6037
V1rb7	2.73034	2.87913	2.94521
V1rb6	4.99699	5.03525	5.02674
V1rb5	2.45843	2.61664	2.4541
V1rb3	3.63895	3.0296	2.7698
V1rb2	2.4588	2.44643	2.39732
V1rb10	2.62367	2.61612	2.65469
V1rb1	2.41543	2.58711	2.48465
V1ra9	3.41006	3.30298	3.48465
V1ra6	3.71448	3.97116	3.6162
V1ra5	2.35342	2.22694	2.31903
V1ra4$V1ra3	2.27884	2.31744	2.39131
V1ra2	2.27762	2.35198	2.35943
V1ra1	2.26146	2.18098	2.22264
Uty	2.93548	5.51902	2.87941
Uts2r	4.3341	4.44394	4.25395
Uts2	3.67808	3.59848	3.52101
Usp9y	4.17875	3.9207	3.76669
Usp50	3.86507	3.21884	3.78231
Usp43	4.36844	3.96807	4.36215
Usp29	3.54566	3.78357	3.6385
Usp26	6.32482	3.06662	3.06085
Usp13	5.21533	5.38282	5.31396
Ushbp1	5.43348	4.2958	4.1383
Ush2a	4.24692	4.28779	4.19442
Ush1c	4.59088	4.31798	5.79596
Uqcrq	5.0373	4.93659	4.93326
Upp2	3.22733	3.24845	3.3349
Upk3b	4.22459	4.0751	4.2021
Upk3a	4.87333	4.96055	5.07041
Upk1b	4.7733	5.21129	4.95856
Upb1	4.82112	4.45314	4.25509
Uox	4.67104	4.68231	4.80365
Uncx4.1	3.10667	3.12622	3.22814
Unc5d	2.7209	2.93608	2.61979
Unc5cl	3.87212	3.83386	3.47232
Unc45b	3.10364	2.84172	2.71599
Unc13d	5.08284	4.79624	6.18415
Unc13c	3.08108	4.13617	3.24255
Unc13a	4.44306	4.46404	5.49659
Umodl1	3.13685	3.29599	2.92449
Umod	2.31637	2.28742	2.4802
Ugt8a	6.03175	3.52765	3.57337
Ugt3a2	3.95634	3.91966	4.16644
Ugt2b5	2.24936	2.44955	2.38543
Ugt2b38	3.14444	3.10417	3.23554
Ugt2b37	2.64089	2.45873	2.46684
Ugt2b36	3.05095	3.15546	2.90527
Ugt2b35	2.37525	2.64237	2.65304
Ugt2b34	2.86465	3.25383	2.81667
Ugt2b1	2.80776	2.73802	2.96926
Ugt2a3	2.4489	2.36544	2.4477
Ugt2a1	2.65236	2.79085	2.80683
Ucp1	3.97777	3.90469	3.89073
Ucn3	3.63444	3.45569	4.66432
Ucn	4.72317	4.87415	4.6868
Uchl4$Uchl3	2.30171	2.28528	2.38543
Ubxd3	4.71389	4.46212	4.41789
Ubqlnl	4.88225	4.52995	4.85946
Ubqln3	2.38703	2.47927	2.31392
Ubl4b	4.08461	3.83803	3.99201
Ube2u	3.61266	3.28986	3.96942
Ube2l6	3.12394	3.66987	3.20545
Ubd	3.15418	3.0873	3.16624
Ubash3a	5.33966	4.52222	4.41386
Tyrp1	2.98862	3.09245	2.95826
Tyrobp	4.13895	4.97216	4.15645
Tyr	2.90361	3.09056	2.85325
Tyms	4.06355	3.42413	4.1501
Tyki	3.97163	3.99396	3.89127
Txnl6	5.07144	5.13759	5.12778
Txndc8	4.84956	4.77618	4.77696
Txndc3	3.18562	3.0216	3.25483
Txndc2	4.95661	5.05176	5.19947
Txlnb	5.32443	4.80947	4.82946
Txk	3.27044	3.26962	3.20477
Tusc5	4.16417	4.12599	4.26439
Tulp2	5.22117	3.01972	3.24515
Tulp1	5.4439	4.90952	5.1706
Tubb1	4.42887	4.53351	4.54818
Tuba8	5.1928	5.60278	4.89127
Tub	4.52097	3.89704	3.88016
Ttyh1$Taf1	5.10693	3.92385	4.23957
Ttn	5.30518	3.65462	3.52344
Ttll9	5.65241	5.08678	5.37127
Ttll3	4.26026	4.48712	4.27149
Ttll13	3.93983	3.46237	4.53776
Ttll11	4.76181	6.41505	4.95479
Ttll10	4.06751	4.00641	4.03851
Ttc9b	5.54081	5.00131	4.90984
Ttc29	5.63865	2.4664	2.58024
Ttc25	4.62444	3.16641	3.81536
Ttc22	4.30864	4.61672	5.46668
Ttc21a	4.95456	4.74756	4.93901
Ttc16	3.97007	3.89592	4.05368
Tsx	5.68092	3.73027	3.73683
Tssk6	4.43255	4.69871	4.28544
Tssk4	3.40415	3.60948	3.48895
Tssk3	3.84498	3.90743	3.81108
Tssk2	3.50919	3.75696	3.51472
Tssk1	5.07364	4.94596	4.92899
Tspyl5	3.78001	4.41916	3.55037
Tspyl3	5.24197	5.51287	3.4562
Tspan8	4.71205	4.02285	6.49278
Tspan33	4.86874	4.57617	4.92945
Tspan11	4.12064	5.68222	4.07951
Tspan10	4.72337	4.60612	4.78783
Tsnaxip1	4.43094	4.26769	4.14195
Tshz2	4.25721	4.78993	4.61678
Tshr	3.10329	3.26681	3.05344
Tshb	4.01869	4.00205	4.06242
Tsga13	3.06542	3.16795	3.10874
Trpv6	5.15777	5.01259	5.12662
Trpv1	2.94901	2.76616	3.05816
Trpm8	2.44167	2.37808	2.48793
Trpm6	4.92088	5.05132	4.98208
Trpm5	4.17224	4.14048	4.08085
Trpm3	3.00123	3.00076	2.87507
Trpm1	4.20955	4.02615	4.10996
Trpd52l3	5.12555	5.36938	5.13585
Trpc6	2.36066	2.56902	2.37861
Trpc5	2.73853	2.94955	2.76638
Trpc4	4.42004	4.82186	4.48976
Trpc3	4.35953	4.65797	4.40363
Trpa1	5.08392	4.54652	4.59605
Trp73	4.94038	4.6972	4.90007
Trp63	3.6885	3.69281	4.04574
Trmt12	3.67448	3.66464	3.78667
Triml1	7.8783	2.77787	2.8231
Trim9	4.09137	4.07181	3.91649
Trim75	2.88389	2.83972	2.70617
Trim69	3.40562	3.59655	3.37909
Trim66	3.36793	4.0591	2.99553
Trim65	4.50545	4.89036	6.21933
Trim63	5.27998	2.9722	3.03336
Trim62	5.09622	4.89724	4.92072
Trim60$Trim60	5.30685	5.09248	5.21239
Trim60	5.26898	5.19285	5.20635
Trim54	6.15166	4.80574	5.21899
Trim42	3.21955	3.1973	3.2447
Trim31	3.28479	3.21023	4.38955
Trim30$AI451617	4.25425	3.96951	5.43033
Trim29	4.96738	5.24382	4.98401
Trim14	2.62635	2.90781	2.70447
Trim10	4.04743	4.23504	4.11647
Trhr2	5.07589	5.09547	5.23167
Trhr	2.69256	2.84058	2.59626
Trhde	2.28804	2.16654	2.31102
Trf	6.37287	4.86649	4.8733
Treml4	2.8326	2.60645	2.60883
Treml2$LOC100047904	3.87262	3.65259	3.72988
Trem3	4.63682	4.48275	4.4872
Trem1	4.05708	4.41637	4.10618
Treh	3.21006	3.18605	3.25194
Trat1	3.32071	3.18455	3.32236
Traf5	4.62653	5.78731	4.17325
Traf3ip3	4.26029	4.06853	4.1441
Traf1	4.09228	4.21763	4.82156
Tpsg1	4.92272	4.77922	4.98565
Tpsb2	4.16848	4.22652	4.26421
Tpsab1	4.11338	4.28463	4.20141
Tppp	2.42223	2.38445	2.53226
Tpo	5.65163	4.77008	5.01848
Tph1	3.78121	3.52379	4.3267
Tpbpb	2.6729	3.08863	2.7775
Tpbpa	2.75881	2.73305	2.8657
Tox2	4.32046	4.55557	4.33095
Tnxb	4.26897	4.17176	4.6614
Tns4	4.70341	4.5122	4.99641
Tnp1	3.14141	3.05646	3.18899
Tnnt3	3.4043	3.53273	3.58549
Tnnt2	3.95994	5.22593	4.63981
Tnni3k	4.0757	4.70958	4.16507
Tnni3	5.13011	4.16885	5.18205
Tnni2	4.01371	4.01806	4.25506
Tnnc2	4.02331	3.92297	3.87178
Tnmd	3.61113	7.91269	3.56875
Tnk1	5.35131	4.41445	4.67431
Tnfsf8	4.37065	4.55733	4.25404
Tnfsf4	4.26491	4.59021	4.30454
Tnfsf14	3.80541	3.89534	3.79926
Tnfsf13b	3.79716	3.48692	3.6882
Tnfsf10	3.86472	3.92243	4.0571
Tnfrsf9	4.82784	4.63974	4.69626
Tnfrsf8	4.77404	4.52686	4.79083
Tnfrsf25	4.50644	4.47583	4.47084
Tnfrsf19	5.46962	4.49573	4.42496
Tnfrsf18	4.40694	4.55743	4.58952
Tnfrsf17	3.89577	3.97822	3.92202
Tnfrsf14	4.38807	4.78203	4.56051
Tnfrsf13c	4.95523	4.46626	4.63464
Tnfrsf13b	3.66444	3.3504	3.08961
Tnfrsf11b	4.1507	8.09258	3.99312
Tnfrsf11a	4.9226	5.0278	4.75853
Tnfrsf10b	4.36668	5.48955	6.33698
Tnfaip8l2	4.77644	4.86364	4.5845
Tmtc2	4.35079	5.33986	5.58317
Tmtc1	4.09259	3.93762	3.57027
Tmprss3	4.9972	4.78936	4.70809
Tmprss2	4.16971	4.10692	4.25665
Tmprss13	4.2099	3.8955	3.86592
Tmprss11f	2.54639	2.53763	2.41764
Tmprss11e	2.24046	2.47971	2.89739
Tmprss11d	2.5745	2.4731	2.4512
Tmprss11a	2.62966	2.45167	2.60144
Tmod4	3.75119	3.57695	3.77149
Tmod2$LOC100048637	3.89795	3.31404	4.32414
Tmigd1	2.5393	2.80615	5.55957
Tmie	4.52648	4.40805	4.78725
Tmhs	3.95903	3.63027	3.64071
Tmem91	4.27048	4.33334	4.10118
Tmem90a	5.239	5.0496	4.8739
Tmem86b	3.72173	3.52853	3.62483
Tmem82	4.97129	4.50233	4.32608
Tmem8	6.33902	4.59751	4.90139
Tmem74	3.6119	4.50353	3.51264
Tmem71	3.71814	3.24052	5.60875
Tmem67	3.85591	4.20042	4.1218
Tmem63c	4.40095	4.01887	4.26937
Tmem59	2.44471	2.641	2.47632
Tmem56	3.01974	2.88272	3.08706
Tmem54	4.35669	3.97179	3.59249
Tmem46	5.00635	3.6032	5.89863
Tmem44	4.26544	5.04687	4.71503
Tmem35	4.87731	5.37224	5.20096
Tmem28	3.15564	3.22334	3.16088
Tmem27	2.22939	2.29461	2.09743
Tmem26	2.52593	3.13277	2.73225
Tmem25	4.93552	5.11056	4.81699
