Gene	Expr0
0610010K14Rik	9.04734
1110059E24Rik	9.12998
2200001I15Rik	9.14743
2410004F06Rik	9.13347
2610318N02Rik	9.26369
2700097O09Rik	9.43048
2810432D09Rik	9.44709
4632404H22Rik	9.47433
4930548G07Rik	9.47376
AK122209	9.15195
Aasdhppt	9.28286
Acp6	9.49782
Apoc1	9.29349
Armcx1	9.48995
Armcx2	9.34404
Aspscr1	9.24498
Bat2d	9.2324
Bckdha	9.12273
Blm	9.85351
Blvrb	9.14529
Brca2	9.77379
C79407	9.63016
Casp8ap2	9.87627
Ccdc99	9.32473
Ccnl1	9.05362
Cdca2	9.15862
Cdca7	9.50158
Cdca8	9.6461
Cenpf	9.07935
Cenpt	9.66235
Chd1l	9.0453
Churc1	9.13345
Clp1	9.51288
Cul3	9.18889
Cwf19l2$Cwf19l2	9.06744
Ddx20	9.52524
Dnajb9	9.04431
Dnajc19	9.18207
E130014J05Rik	9.07005
EG665989	9.15544
EG667501	9.3826
Ecd	9.16987
Eif4ebp2	9.18057
Ercc6l	9.09198
Esco2	9.46731
Fabp3	9.93882
Fkbp5	9.06413
Fntb	9.74453
Folr1	10.1324
Fubp1	9.28088
Gclc	9.05655
Gins2	9.14341
Gja7	9.31885
Gm428	9.31886
Grhpr	9.45683
Gtlf3b	9.19837
Herc4	9.32504
Hiat1	9.24375
Hsd17b14	9.33861
Huwe1	9.08325
Icam1	9.27295
Kif22	9.12847
Kpna3	9.39667
LOC100044098	9.10263
LOC100044395	9.11525
LOC100045677	9.75312
LOC100046393	9.29312
LOC100047936	9.29242
LOC100048499	9.11545
Lefty1	9.78158
Leo1	9.12559
Lphn1$Gtl2	9.25836
Lrp11	9.23198
Lrrc34	9.41458
Lsg1	9.05281
Mcm3ap	9.41049
Med19	9.26679
Mpzl1	9.14397
Mrpl47	9.13328
Mterfd1	9.07353
Mycbp	9.07168
Mylpf	9.54352
Nat10	9.05167
Nid2	9.65131
Nsmce2	9.07044
Nup133	9.30627
Nup43	9.23869
Nxt2	9.17218
Orc2l	9.26309
Otx2	9.13712
Pak4	9.15686
Pawr	9.44069
Pcgf6	9.60636
Pdcd11	9.33083
Pdk1	9.2001
Plaa	9.2843
Plk1	9.65071
Pole	9.25406
Pole2	9.21758
Pole4	9.13436
Polr3g	9.17666
Ppil4	9.15711
Prpsap2	9.4872
Psmc3ip	9.07571
Pspc1	9.25716
Ptcd3	9.53055
Racgap1	9.12514
Raly	9.2936
Rbbp5	9.30018
Rbm34	9.15017
Rbmx2	9.47166
Rcl1	9.43988
Rdm1	9.39836
Rhebl1	9.45047
Rif1	9.37267
Rnf138	9.45306
Rpp25	9.35222
Rrp1b	9.76524
Sall1	9.37814
Sf1	9.37622
Sirt1	9.79766
Slc25a13	9.69566
Slc7a7	9.16515
Smarcad1	9.94538
Sohlh2	9.57213
Spc24	9.5134
Spc25	9.56281
Suclg2	9.15572
Taf5	9.09087
Taf5l	9.12561
Taf7	9.70198
Tarbp2	9.12706
Tcerg1	9.37539
Tcfcp2l1	9.5282
Tcof1	9.18158
Tead2	9.12704
Terf1	9.27811
Thoc5	9.05095
Thrap3	9.23311
Thumpd3	9.15656
Trim13	9.25975
Trim24	9.14224
Trim25	9.1424
Trim71	9.38986
Ubl3	9.05797
Ubp1	9.16453
Ubxd4$EG621629	9.56546
Uxt	9.3342
Wasf1	9.24697
Wdhd1	9.19066
Wfdc2	9.53356
Xab2	9.29285
Yeats4	9.63582
Ythdc1	9.3326
Zfp277	9.05012
Zfp428	10.0344
Zfp740	9.25302
Zmym1	10.2411
Znhit3	9.61416
Zscan10	9.60114
Zwint	9.15025
0610007L01Rik	9.09266
0610009D07Rik	11.0445
1110002E23Rik	11.3011
1110007L15Rik	9.06608
1110007M04Rik	9.37877
1110008F13Rik	10.6284
1110014K08Rik	11.3
1110019J04Rik	11.1831
1110019N10Rik	9.88608
1110020P15Rik$1110020P15Rik	10.507
1190003J15Rik	9.15218
1190005P17Rik	10.329
1200003C05Rik	9.2279
1200011O22Rik	9.37059
1200015A19Rik	10.0612
15-Sep	10.1165
1500032D16Rik	10.8006
1500032L24Rik	10.5196
1700021F05Rik	9.40295
1700123O20Rik	9.58854
1810035L17Rik	10.9854
1810037I17Rik	10.4704
1810046J19Rik	9.54325
1810073G14Rik	9.08198
2010003J03Rik	9.49349
2010100O12Rik	9.90591
2010309E21Rik	10.1384
2010311D03Rik	9.76912
2210412D01Rik	9.39612
2310016E02Rik	10.616
2310016M24Rik	9.61229
2310022M17Rik	9.77884
2310036O22Rik	10.268
2310056P07Rik	10.4878
2400001E08Rik	10.5018
2410002F23Rik	9.57068
2410015M20Rik	9.64031
2410015N17Rik	10.5097
2410127L17Rik	10.6689
2410146L05Rik	11.759
2510006D16Rik	9.39974
2610027L16Rik	9.58904
2610029G23Rik	10.7388
2610101N10Rik	10.5857
2610204K14Rik	9.92254
2610507B11Rik	9.33748
2610510H03Rik	10.5376
2700024H10Rik	9.61721
2700038C09Rik	10.4756
2700059D21Rik	10.7888
2810004N23Rik	9.66581
